type_operasi,daerah_operasi,area_operasi,jumlah_bus,jumlah_penumpang
REGULER,RUTE 1,RUTE 1 (LAP.BANTENG - GALUR - P.KEMERDEKAAN),106,42.59
REGULER,RUTE 2,RUTE 2 (PLUMPANG - SUNTER - KEMAYORAN),74,25.286
REGULER,RUTE 3,RUTE 3 (GANDARIA - H E K - TMII),114,31.14
REGULER,RUTE 4A,RUTE 4A (P.KEMERDEKAAN - PULOGADUNG - BOR - PD.KOPI),80,26.909
REGULER,RUTE 4B,RUTE 4B (P.KEMERDEKAAN - PULOGADUNG - PULOGEBANG - PD.KOPI),83,26.875
REGULER,RUTE 5,RUTE 5 (KP.MELAYU - TMII - CEGER),141,46.029
REGULER,RUTE 6,RUTE 6 (PS.MINGGU - BUNCIT - KEBAYORAN PTIK),105,29.581
REGULER,RUTE 7,RUTE 7 (PS.MINGGU - RANCO - LT.AGUNG - UI),161,58.313
REGULER,RUTE 8,RUTE 8 (PS.MINGGU - PANCORAN - MANGGARAI),108,28.598
REGULER,RUTE 9,RUTE 9 (CILINCING - PLUMPANG - P.KEMERDEKAAN),49,13.629
REGULER,RUTE 10,RUTE 10 (KP.MELAYU - LAP.BANTENG),95,31.323
REGULER,RUTE 11,RUTE 11 (BLOK M - CILEDUG),132,38.189
REGULER,RUTE 12,RUTE 12 (TERMINAL KALIDERES - GAJAH MADA),137,43.723
REGULER,RUTE 13,RUTE 13 (PULOGADUNG - PD.BAMBU - KALI MALANG - CAWANG - PGC),83,31.126
REGULER,RUTE 14,RUTE 14 (BLOK M - PD.LABU),89,23.931
REGULER,RUTE 15,RUTE 15 (TEBET - CIPINANG MUARA - PD.KOPI),52,13.672
REGULER,RUTE 16,RUTE 16 (RUSUN MUARA BARU PLUIT - GROGOL),76,29.916
REGULER,RUTE 17,RUTE 17 (RUSUN MUARA BARU PLUIT - BANDENGAN MUARA ANGKE (KALI ADEM)),72,24.77
REGULER,RUTE 18,RUTE 18 (MERUYA - CILEDUG),93,27.138
REGULER,RUTE 19,RUTE 19 (BENDUNGAN HILIR - KEMANGGISAN),88,32.693
REGULER,RUTE 20,RUTE 20 (KEMANGGISAN - DAAN MOGOT),68,20.764
REGULER,RUTE RENOP KHUSUS,RUTE RENOP KHUSUS,482,60.794
ZONASI,ZONASI 1,ZONASI 1 (PD.GEDE - CONDET - RANCO),151,28.128
ZONASI,ZONASI 2,ZONASI 2 (KP.MELAYU - RAWAMANGUN),122,20.265
ZONASI,ZONASI 3,ZONASI 3 (TERMINAL KALIDERES - KAMAL),110,31.913
ZONASI,ZONASI 4,ZONASI 4 (KALIDERES - SEMANAN - DURI KOSAMBI),133,37.034
ZONASI,ZONASI 5,ZONASI 5 (PULOGADUNG - MARDANI - PASEBAN),114,21.296
ZONASI,ZONASI 6,ZONASI 6 (CAWANG - RAGUNAN),106,20.161
ZONASI,ZONASI 7,ZONASI 7 (RAWAMANGUN - MANGGARAI - CIKINI),108,19.138
ZONASI,ZONASI 8,ZONASI 8 (LUBANG BUAYA - DUKU.5 (JASA MARGA) - KP.RAMBUTAN - RANCO),61,10.536
ZONASI,ZONASI 9,ZONASI 9 (ROROTAN - MARUNDA),60,15.167
ZONASI,ZONASI 10,ZONASI 10 (RUSUNAWA - CILINCING),74,18.135
ZONASI,ZONASI 11,ZONASI 11 (RUSUN KAPUK MUARA - JEMBATAN LIMA - CIDENG),43,10.037
ZONASI,ZONASI 12,ZONASI 12 (RUSUN RAWABEBEK - CAKUNG TIMUR - ROROTAN),42,11.111
ZONASI,ZONASI RENOP KHUSUS,ZONASI RENOP KHUSUS,155,13.022
