type_operasi,daerah_operasi,area_operasi,jumlah_bus,jumlah_penumpang
REGULER,RUTE 1,RUTE 1 (LAP.BANTENG - GALUR - P.KEMERDEKAAN),98,31.751
REGULER,RUTE 2,RUTE 2 (PLUMPANG - SUNTER - KEMAYORAN),76,20.922
REGULER,RUTE 3,RUTE 3 (GANDARIA - H E K - TMII),91,22.893
REGULER,RUTE 4A,RUTE 4A (P.KEMERDEKAAN - PULOGADUNG - BOR - PD.KOPI),71,22.401
REGULER,RUTE 4B,RUTE 4B (P.KEMERDEKAAN - PULOGADUNG - PULOGEBANG - PD.KOPI),78,22.217
REGULER,RUTE 5,RUTE 5 (KP.MELAYU - TMII - CEGER),134,40.953
REGULER,RUTE 6,RUTE 6 (PS.MINGGU - BUNCIT - KEBAYORAN PTIK),102,25.201
REGULER,RUTE 7,RUTE 7 (PS.MINGGU - RANCO - LT.AGUNG - UI),144,44.39
REGULER,RUTE 8,RUTE 8 (PS.MINGGU - PANCORAN - MANGGARAI),92,22.942
REGULER,RUTE 9,RUTE 9 (CILINCING - PLUMPANG - P.KEMERDEKAAN),49,14.588
REGULER,RUTE 10,RUTE 10 (KP.MELAYU - LAP.BANTENG),80,24.887
REGULER,RUTE 11,RUTE 11 (BLOK M - CILEDUG),118,28.182
REGULER,RUTE 12,RUTE 12 (TERMINAL KALIDERES - GAJAH MADA),142,40.989
REGULER,RUTE 13,RUTE 13 (PULOGADUNG - PD.BAMBU - KALI MALANG - CAWANG - PGC),90,32.188
REGULER,RUTE 14,RUTE 14 (BLOK M - PD.LABU),83,18.906
REGULER,RUTE 15,RUTE 15 (TEBET - CIPINANG MUARA - PD.KOPI),51,12.022
REGULER,RUTE 16,RUTE 16 (RUSUN MUARA BARU PLUIT - GROGOL),78,23.199
REGULER,RUTE 17,RUTE 17 (RUSUN MUARA BARU PLUIT - BANDENGAN MUARA ANGKE (KALI ADEM)),79,25.051
REGULER,RUTE 18,RUTE 18 (MERUYA - CILEDUG),92,24.227
REGULER,RUTE 19,RUTE 19 (BENDUNGAN HILIR - KEMANGGISAN),93,29.393
REGULER,RUTE 20,RUTE 20 (KEMANGGISAN - DAAN MOGOT),75,20.573
REGULER,RUTE RENOP KHUSUS,RUTE RENOP KHUSUS,454,29.256
ZONASI,ZONASI 1,ZONASI 1 (PD.GEDE - CONDET - RANCO),127,21.646
ZONASI,ZONASI 2,ZONASI 2 (KP.MELAYU - RAWAMANGUN),118,22.243
ZONASI,ZONASI 3,ZONASI 3 (TERMINAL KALIDERES - KAMAL),110,27.194
ZONASI,ZONASI 4,ZONASI 4 (KALIDERES - SEMANAN - DURI KOSAMBI),137,30.693
ZONASI,ZONASI 5,ZONASI 5 (PULOGADUNG - MARDANI - PASEBAN),103,19.606
ZONASI,ZONASI 6,ZONASI 6 (CAWANG - RAGUNAN),88,16.095
ZONASI,ZONASI 7,ZONASI 7 (RAWAMANGUN - MANGGARAI - CIKINI),90,14.901
ZONASI,ZONASI 8,ZONASI 8 (LUBANG BUAYA - DUKU.5 (JASA MARGA) - KP.RAMBUTAN - RANCO),57,8.364
ZONASI,ZONASI 9,ZONASI 9 (ROROTAN - MARUNDA),58,13.106
ZONASI,ZONASI 10,ZONASI 10 (RUSUNAWA - CILINCING),54,13.58
ZONASI,ZONASI 11,ZONASI 11 (RUSUN KAPUK MUARA - JEMBATAN LIMA - CIDENG),42,7.795
ZONASI,ZONASI 12,ZONASI 12 (RUSUN RAWABEBEK - CAKUNG TIMUR - ROROTAN),42,8.789
ZONASI,ZONASI UJI COBA (CIPEDAK – SRENGSENG SAWAH),ZONASI UJI COBA (CIPEDAK – SRENGSENG SAWAH),84,15.905
ZONASI,ZONASI RENOP KHUSUS,ZONASI RENOP KHUSUS,89,3.251
