type_operasi,daerah_operasi,area_operasi,jumlah_bus,jumlah_penumpang
REGULER,RUTE 1,RUTE 1 (LAP.BANTENG - GALUR - P.KEMERDEKAAN),98,12879
REGULER,RUTE 2,RUTE 2 (PLUMPANG - SUNTER - KEMAYORAN),65,8520
REGULER,RUTE 3,RUTE 3 (GANDARIA - H E K - TMII),83,6934
REGULER,RUTE 4A,RUTE 4A (P.KEMERDEKAAN - PULOGADUNG - BOR - PD.KOPI),66,7140
REGULER,RUTE 4B,RUTE 4B (P.KEMERDEKAAN - PULOGADUNG - PULOGEBANG - PD.KOPI),59,5449
REGULER,RUTE 5,RUTE 5 (KP.MELAYU - TMII - CEGER),115,14577
REGULER,RUTE 6,RUTE 6 (PS.MINGGU - BUNCIT - KEBAYORAN PTIK),84,9767
REGULER,RUTE 7,RUTE 7 (PS.MINGGU - RANCO - LT.AGUNG - UI),125,20131
REGULER,RUTE 8,RUTE 8 (PS.MINGGU - PANCORAN - MANGGARAI),87,8294
REGULER,RUTE 9,RUTE 9 (CILINCING - PLUMPANG - P.KEMERDEKAAN),44,5638
REGULER,RUTE 10,RUTE 10 (KP.MELAYU - LAP.BANTENG),94,11756
REGULER,RUTE 11,RUTE 11 (BLOK M - CILEDUG),87,12841
REGULER,RUTE 12,RUTE 12 (TERMINAL KALIDERES - GAJAH MADA),113,14524
REGULER,RUTE 13,RUTE 13 (PULOGADUNG - PD.BAMBU - KALI MALANG - CAWANG - PGC),80,10157
REGULER,RUTE 14,RUTE 14 (BLOK M - PD.LABU),73,9071
REGULER,RUTE 15,RUTE 15 (TEBET - CIPINANG MUARA - PD.KOPI),45,5131
REGULER,RUTE 16,RUTE 16 (RUSUN MUARA BARU PLUIT - GROGOL),52,10604
REGULER,RUTE 17,RUTE 17 (RUSUN MUARA BARU PLUIT - BANDENGAN MUARA ANGKE (KALI ADEM)),53,8897
REGULER,RUTE 18,RUTE 18 (MERUYA - CILEDUG),66,9072
REGULER,RUTE 19,RUTE 19 (BENDUNGAN HILIR - KEMANGGISAN),74,10547
REGULER,RUTE 20,RUTE 20 (KEMANGGISAN - DAAN MOGOT),52,6449
REGULER,RUTE RENOP KHUSUS,RUTE RENOP KHUSUS,83,4797
ZONASI,ZONASI 1,ZONASI 1 (PD.GEDE - CONDET - RANCO),118,10354
ZONASI,ZONASI 2,ZONASI 2 (KP.MELAYU - RAWAMANGUN),107,8318
ZONASI,ZONASI 3,ZONASI 3 (TERMINAL KALIDERES - KAMAL),90,14078
ZONASI,ZONASI 4,ZONASI 4 (KALIDERES - SEMANAN - DURI KOSAMBI),102,15997
ZONASI,ZONASI 5,ZONASI 5 (PULOGADUNG - MARDANI - PASEBAN),89,8688
ZONASI,ZONASI 6,ZONASI 6 (CAWANG - RAGUNAN),73,5079
ZONASI,ZONASI 7,ZONASI 7 (RAWAMANGUN - MANGGARAI - CIKINI),87,7035
ZONASI,ZONASI 8,ZONASI 8 (LUBANG BUAYA - DUKU.5 (JASA MARGA) - KP.RAMBUTAN - RANCO),44,2636
ZONASI,ZONASI 9,ZONASI 9 (ROROTAN - MARUNDA),43,4751
ZONASI,ZONASI 10,ZONASI 10 (RUSUNAWA - CILINCING),57,7200
ZONASI,ZONASI 11,ZONASI 11 (RUSUN KAPUK MUARA - JEMBATAN LIMA - CIDENG),30,3078
ZONASI,ZONASI 12,ZONASI 12 (RUSUN RAWABEBEK - CAKUNG TIMUR - ROROTAN),30,3459
ZONASI,ZONASI RENOP KHUSUS,ZONASI RENOP KHUSUS,25,807
