type_operasi,daerah_operasi,area_operasi,jumlah_bus,jumlah_penumpang
ZONASI,ZONA 1,ZONASI PONDOK GEDE - HALIM- CONDET - RANCHO,105,16.071
ZONASI,ZONA 2,ZONASI KP.MELAYU - RAWAMANGUN,77,9.962
ZONASI,ZONA 3,ZONASI TERMINAL KALIDERES - KAMAL,56,6.404
ZONASI,ZONA 4, ZONASI KALIDERES -SEMANAN-DURIKOSAMBI,97,14.596
ZONASI,ZONA 5,ZONASI PULO GADUNG-MARDANI-PASEBAN,69,10.244
ZONASI,ZONA 6,ZONASI CAWANG - PEJATEN - RAGUNAN,54,5.828
ZONASI,ZONA 7,ZONASI RAWAMANGUN - CIKINI - LP.BANTENG,65,9.309
ZONASI,ZONA 8,ZONASI LUBANG BUAYA - DUKU.5 - KP.RAMBUTAN - RANCO,44,4.734
ZONASI,ZONA 9,ZONASI MARUNDA - ROROTAN,49,7.592
ZONASI,ZONA 10,ZONASI MARUNDA - CILINCING,52,6.966
ZONASI,ZONA 11,ZONASI - RUSUN KAPUK - CIDENG,35,4.778
ZONASI,ZONASI 12,ZONASI CAKUNG TIMUR - ROROTAN,52,5.533
REGULER,RUTE 1,LAP.BANTENG - GALUR -P.KEMERDEKAAN,103,21.734
REGULER,RUTE 2,PLUMPANG - SUNTER - KEMAYORAN,90,16.522
REGULER,RUTE 3,GANDARIA - H E K - TMII,90,22.779
REGULER,RUTE 4,PERINTIS KEMERDEKAAN - PULO GADUNG- PONDOK KOPI,56,12.569
REGULER,RUTE 4A,PULO GADUNG - PONDOK KOPI,85,21.891
REGULER,RUTE 5,KAMPUNG MELAYU - TMII - CEGER,116,24.599
REGULER,RUTE 6,PS.MINGGU - BUNCIT - KEBAYORAN PTIK,68,12.723
REGULER,RUTE 7,PASAR MINGGU - RANCO - LT.AGUNG - UI,116,34.963
REGULER,RUTE 8,PS. MINGGU - PANCORAN - MANGGARAI,89,14.047
REGULER,RUTE 9,CILINCING - PLUMPANG -P.KEMERDEKAAN,47,8.507
REGULER,RUTE 10,KAMPUNG MELAYU - LAPANGAN BANTENG,68,12.871
REGULER,RUTE 11,BLOK.M - CILEDUK,65,13.227
REGULER,RUTE 12,TERMINAL KALIDERES - GAJAH MADA,101,24.939
REGULER,RUTE 13,PULO GADUNG -  PONDOK BAMBU -CAWANG,66,13.249
REGULER,RUTE 14,BLOK. M - PONDOK LABU,72,12.83
REGULER,RUTE 15,TEBET - PONDOK KOPI,52,11.019
REGULER,RUTE 16,RUSUN MUARA BARU - GROGOL,54,13.095
REGULER,RUTE 17,MUARA BARU- MUARA ANGKE,50,13.632
