type_operasi,daerah_operasi,area_operasi,jumlah_bus,jumlah_penumpang
ZONASI,ZONA 1,ZONASI PONDOK GEDE - HALIM- CONDET - RANCHO,112,17.291
ZONASI,ZONA 2,ZONASI KP.MELAYU - RAWAMANGUN,86,11.228
ZONASI,ZONA 3,ZONASI TERMINAL KALIDERES - KAMAL,72,6.652
ZONASI,ZONA 4, ZONASI KALIDERES -SEMANAN-DURIKOSAMBI,105,14.405
ZONASI,ZONA 5,ZONASI PULO GADUNG-MARDANI-PASEBAN,71,9.171
ZONASI,ZONA 6,ZONASI CAWANG - PEJATEN - RAGUNAN,69,5.684
ZONASI,ZONA 7,ZONASI RAWAMANGUN - CIKINI - LP.BANTENG,68,8.752
ZONASI,ZONA 8,ZONASI LUBANG BUAYA - DUKU.5 - KP.RAMBUTAN - RANCO,65,6.05
ZONASI,ZONA 9,ZONASI MARUNDA - ROROTAN,52,6.439
ZONASI,ZONA 10,ZONASI MARUNDA - CILINCING,53,6.625
ZONASI,ZONA 11,ZONASI - RUSUN KAPUK - CIDENG,33,4.54
REGULER,RUTE 1,LAP.BANTENG - GALUR -P.KEMERDEKAAN,106,26.233
REGULER,RUTE 2,PLUMPANG - SUNTER - KEMAYORAN,89,17.682
REGULER,RUTE 3,GANDARIA - H E K - TMII,90,21.935
REGULER,RUTE 4,PERINTIS KEMERDEKAAN - PULO GADUNG- PONDOK KOPI,54,14.759
REGULER,RUTE 4A,PULO GADUNG - PONDOK KOPI,90,26.502
REGULER,RUTE 5,KAMPUNG MELAYU - TMII - CEGER,125,29.847
REGULER,RUTE 6,PS.MINGGU - BUNCIT - KEBAYORAN PTIK,73,14.643
REGULER,RUTE 7,PASAR MINGGU - RANCO - LT.AGUNG - UI,125,38.628
REGULER,RUTE 8,PS. MINGGU - PANCORAN - MANGGARAI,88,16.122
REGULER,RUTE 9,CILINCING - PLUMPANG -P.KEMERDEKAAN,54,8.915
REGULER,RUTE 10,KAMPUNG MELAYU - LAPANGAN BANTENG,69,14.155
REGULER,RUTE 11,BLOK.M - CILEDUK,71,16.452
REGULER,RUTE 12,TERMINAL KALIDERES - GAJAH MADA,108,32.295
REGULER,RUTE 13,PULO GADUNG -  PONDOK BAMBU -CAWANG,72,15.717
REGULER,RUTE 14,BLOK. M - PONDOK LABU,68,13.418
REGULER,RUTE 15,TEBET - PONDOK KOPI,51,11.129
REGULER,RUTE 16,RUSUN MUARA BARU - GROGOL,54,13.587
REGULER,RUTE 17,MUARA BARU- MUARA ANGKE,54,15.446
