type_operasi,daerah_operasi,area_operasi,jumlah_bus,jumlah_penumpang
REGULER,RUTE 1,RUTE 1 (LAP.BANTENG - GALUR - P.KEMERDEKAAN),104,22256
REGULER,RUTE 2,RUTE 2 (PLUMPANG - SUNTER - KEMAYORAN),84,21496
REGULER,RUTE 3,RUTE 3 (GANDARIA - H E K - TMII),92,23284
REGULER,RUTE 4A,RUTE 4A (P.KEMERDEKAAN - PULOGADUNG - BOR - PD.KOPI),76,17731
REGULER,RUTE 4B,RUTE 4B (P.KEMERDEKAAN - PULOGADUNG - PULOGEBANG - PD.KOPI),63,16157
REGULER,RUTE 5,RUTE 5 (KP.MELAYU - TMII - CEGER),110,28535
REGULER,RUTE 6,RUTE 6 (PS.MINGGU - BUNCIT - KEBAYORAN PTIK),91,15802
REGULER,RUTE 7,RUTE 7 (PS.MINGGU - RANCO - LT.AGUNG - UI),141,39869
REGULER,RUTE 8,RUTE 8 (PS.MINGGU - PANCORAN - MANGGARAI),95,17781
REGULER,RUTE 9,RUTE 9 (CILINCING - PLUMPANG - P.KEMERDEKAAN),52,9650
REGULER,RUTE 10,RUTE 10 (KP.MELAYU - LAP.BANTENG),111,21285
REGULER,RUTE 11,RUTE 11 (BLOK M - CILEDUG),104,20640
REGULER,RUTE 12,RUTE 12 (TERMINAL KALIDERES - GAJAH MADA),135,35786
REGULER,RUTE 13,RUTE 13 (PULOGADUNG - PD.BAMBU - KALI MALANG - CAWANG - PGC),89,21056
REGULER,RUTE 14,RUTE 14 (BLOK M - PD.LABU),86,14961
REGULER,RUTE 15,RUTE 15 (TEBET - CIPINANG MUARA - PD.KOPI),50,11001
REGULER,RUTE 16,RUTE 16 (RUSUN MUARA BARU PLUIT - GROGOL),70,20311
REGULER,RUTE 17,RUTE 17 (RUSUN MUARA BARU PLUIT - BANDENGAN MUARA ANGKE (KALI ADEM)),57,16902
REGULER,RUTE 18,RUTE 18 (MERUYA - CILEDUG),90,22403
REGULER,RUTE 19,RUTE 19 (BENDUNGAN HILIR - KEMANGGISAN),87,25483
REGULER,RUTE 20,RUTE 20 (KEMANGGISAN - DAAN MOGOT),73,14953
REGULER,RUTE RENOP KHUSUS,RUTE RENOP KHUSUS,283,9087
ZONASI,ZONASI 1,ZONASI 1 (PD.GEDE - CONDET - RANCO),136,20402
ZONASI,ZONASI 2,ZONASI 2 (KP.MELAYU - RAWAMANGUN),122,21642
ZONASI,ZONASI 3,ZONASI 3 (TERMINAL KALIDERES - KAMAL),110,22932
ZONASI,ZONASI 4,ZONASI 4 (KALIDERES - SEMANAN - DURI KOSAMBI),128,28534
ZONASI,ZONASI 5,ZONASI 5 (PULOGADUNG - MARDANI - PASEBAN),107,17627
ZONASI,ZONASI 6,ZONASI 6 (CAWANG - RAGUNAN),74,10764
ZONASI,ZONASI 7,ZONASI 7 (RAWAMANGUN - MANGGARAI - CIKINI),108,15362
ZONASI,ZONASI 8,ZONASI 8 (LUBANG BUAYA - DUKU.5 (JASA MARGA) - KP.RAMBUTAN - RANCO),74,8839
ZONASI,ZONASI 9,ZONASI 9 (ROROTAN - MARUNDA),56,9958
ZONASI,ZONASI 10,ZONASI 10 (RUSUNAWA - CILINCING),74,12896
ZONASI,ZONASI 11,ZONASI 11 (RUSUN KAPUK MUARA - JEMBATAN LIMA - CIDENG),37,4693
ZONASI,ZONASI 12,ZONASI 12 (RUSUN RAWABEBEK - CAKUNG TIMUR - ROROTAN),38,5480
ZONASI,ZONASI RENOP KHUSUS,ZONASI RENOP KHUSUS,59,1171
