type_operasi,daerah_operasi,area_operasi,jumlah_bus,jumlah_penumpang
ZONASI,ZONA 1,ZONASI PONDOK GEDE - HALIM- CONDET - RANCHO,93,10.515
ZONASI,ZONA 2,ZONASI KP.MELAYU - RAWAMANGUN,69,7.042
ZONASI,ZONA 3,ZONASI TERMINAL KALIDERES - KAMAL,63,7.664
ZONASI,ZONA 4, ZONASI KALIDERES -SEMANAN-DURIKOSAMBI,80,11.429
ZONASI,ZONA 5,ZONASI PULO GADUNG-MARDANI-PASEBAN,68,7.651
ZONASI,ZONA 6,ZONASI CAWANG - PEJATEN - RAGUNAN,43,6.101
ZONASI,ZONA 7,ZONASI RAWAMANGUN - CIKINI - LP.BANTENG,53,5.429
ZONASI,ZONA 8,ZONASI LUBANG BUAYA - DUKU.5 - KP.RAMBUTAN - RANCO,47,5.517
ZONASI,ZONA 9,ZONASI MARUNDA - ROROTAN,36,5.179
ZONASI,ZONA 10,ZONASI MARUNDA - CILINCING,33,5.589
ZONASI,ZONA 11,ZONASI - RUSUN KAPUK - CIDENG,25,7.18
ZONASI,ZONA 12,ZONASI CAKUNG TIMUR - ROROTAN,24,3.083
ZONASI,ZONA 13,ARMADA KHUSUS DILUAR JAM PELAYANAN,48,1.302
REGULER,RUTE 1,LAP.BANTENG - GALUR -P.KEMERDEKAAN,77,12.552
REGULER,RUTE 2,PLUMPANG - SUNTER - KEMAYORAN,71,10.985
REGULER,RUTE 3,GANDARIA - H E K - TMII,71,14.574
REGULER,RUTE 4 A,PERINTIS KEMERDEKAAN - PULO GADUNG- PONDOK KOPI,116,17.533
REGULER,RUTE 5,KAMPUNG MELAYU - TMII - CEGER,85,14.951
REGULER,RUTE 6,PS.MINGGU - BUNCIT - KEBAYORAN PTIK,49,8.773
REGULER,RUTE 7,PASAR MINGGU - RANCO - LT.AGUNG - UI,98,23.769
REGULER,RUTE 8,PS. MINGGU - PANCORAN - MANGGARAI,64,10.348
REGULER,RUTE 9,CILINCING - PLUMPANG -P.KEMERDEKAAN,39,5.475
REGULER,RUTE 10,KAMPUNG MELAYU - LAPANGAN BANTENG,57,8.079
REGULER,RUTE 11,BLOK.M - CILEDUK,63,11.6
REGULER,RUTE 12,TERMINAL KALIDERES - GAJAH MADA,107,19.868
REGULER,RUTE 13,PULO GADUNG -  PONDOK BAMBU -CAWANG,46,8.968
REGULER,RUTE 14,BLOK. M - PONDOK LABU,60,9.042
REGULER,RUTE 15,TEBET - PONDOK KOPI,35,5.693
REGULER,RUTE 16,RUSUN MUARA BARU - GROGOL,46,8.972
REGULER,RUTE 17,MUARA BARU- MUARA ANGKE,34,6.408
REGULER,RUTE 18,UJI COBA (CILEDUG-MERURUYA),26,3.505
REGULER,RUTE 19,UJI COBA (BENDUNGAN HILLIR - KEMANGGISAN),28,6.043
REGULER,RUTE 20,UJI COBA ( KEMANGGISAN - DAAN MOGOT),30,3.13
REGULER,RUTE 21,PELAYANAN DILUAR JAM OPERASIOMNAL ,71,4.275
