type_operasi,daerah_operasi,area_operasi,jumlah_bus,jumlah_penumpang
ZONASI,ZONA 1,ZONASI PONDOK GEDE - HALIM- CONDET - RANCHO,75,7932
ZONASI,ZONA 2,ZONASI KP.MELAYU - RAWAMANGUN,62,5979
ZONASI,ZONA 3,ZONASI TERMINAL KALIDERES - KAMAL,50,3912
ZONASI,ZONA 4, ZONASI KALIDERES -SEMANAN-DURIKOSAMBI,77,8594
ZONASI,ZONA 5,ZONASI PULO GADUNG-MARDANI-PASEBAN,51,4797
ZONASI,ZONA 6,ZONASI CAWANG - PEJATEN - RAGUNAN,43,2542
ZONASI,ZONA 7,ZONASI RAWAMANGUN - CIKINI - LP.BANTENG,52,3813
ZONASI,ZONA 8,ZONASI LUBANG BUAYA - DUKU.5 - KP.RAMBUTAN - RANCO,40,2876
ZONASI,ZONA 9,ZONASI MARUNDA - ROROTAN,35,3434
ZONASI,ZONA 10,ZONASI MARUNDA - CILINCING,36,4029
ZONASI,ZONA 11,ZONASI - RUSUN KAPUK - CIDENG,30,2279
ZONASI,ZONASI 12,ZONASI CAKUNG TIMUR - ROROTAN,26,2070
REGULER,RUTE 1,LAP.BANTENG - GALUR -P.KEMERDEKAAN,75,12025
REGULER,RUTE 2,PLUMPANG - SUNTER - KEMAYORAN,65,7126
REGULER,RUTE 3,GANDARIA - H E K - TMII,65,7838
REGULER,RUTE 4,PERINTIS KEMERDEKAAN - PULO GADUNG- PONDOK KOPI,38,5847
REGULER,RUTE 4A,PULO GADUNG - PONDOK KOPI,62,8246
REGULER,RUTE 5,KAMPUNG MELAYU - TMII - CEGER,85,11180
REGULER,RUTE 6,PS.MINGGU - BUNCIT - KEBAYORAN PTIK,49,5444
REGULER,RUTE 7,PASAR MINGGU - RANCO - LT.AGUNG - UI,84,17371
REGULER,RUTE 8,PS. MINGGU - PANCORAN - MANGGARAI,63,6407
REGULER,RUTE 9,CILINCING - PLUMPANG -P.KEMERDEKAAN,38,4276
REGULER,RUTE 10,KAMPUNG MELAYU - LAPANGAN BANTENG,47,6094
REGULER,RUTE 11,BLOK.M - CILEDUK,51,6553
REGULER,RUTE 12,TERMINAL KALIDERES - GAJAH MADA,75,11317
REGULER,RUTE 13,PULO GADUNG -  PONDOK BAMBU -CAWANG,50,5018
REGULER,RUTE 14,BLOK. M - PONDOK LABU,51,4853
REGULER,RUTE 15,TEBET - PONDOK KOPI,38,4781
REGULER,RUTE 16,RUSUN MUARA BARU - GROGOL,36,5284
REGULER,RUTE 17,MUARA BARU- MUARA ANGKE,39,5250
