type_operasi,daerah_operasi,area_operasi,jumlah_bus,jumlah_penumpang
ZONASI,ZONA 1,ZONASI PONDOK GEDE - HALIM- CONDET - RANCHO,71,8.582
ZONASI,ZONA 2,ZONASI KP.MELAYU - RAWAMANGUN,58,7.43
ZONASI,ZONA 3,ZONASI TERMINAL KALIDERES - KAMAL,38,3.875
ZONASI,ZONA 4, ZONASI KALIDERES -SEMANAN-DURIKOSAMBI,62,8.505
ZONASI,ZONA 5,ZONASI PULO GADUNG-MARDANI-PASEBAN,48,5.522
ZONASI,ZONA 6,ZONASI CAWANG - PEJATEN - RAGUNAN,36,2.896
ZONASI,ZONA 7,ZONASI RAWAMANGUN - CIKINI - LP.BANTENG,48,4.936
ZONASI,ZONA 8,ZONASI LUBANG BUAYA - DUKU.5 - KP.RAMBUTAN - RANCO,28,2.349
ZONASI,ZONA 9,ZONASI MARUNDA - ROROTAN,34,4.293
ZONASI,ZONA 10,ZONASI MARUNDA - CILINCING,36,4.162
ZONASI,ZONA 11,ZONASI - RUSUN KAPUK - CIDENG,24,2.325
ZONASI,ZONASI 12,ZONASI CAKUNG TIMUR - ROROTAN,38,2.777
REGULER,RUTE 1,LAP.BANTENG - GALUR -P.KEMERDEKAAN,61,11.637
REGULER,RUTE 2,PLUMPANG - SUNTER - KEMAYORAN,59,7.888
REGULER,RUTE 3,GANDARIA - H E K - TMII,60,13.31
REGULER,RUTE 4,PERINTIS KEMERDEKAAN - PULO GADUNG- PONDOK KOPI,36,6.535
REGULER,RUTE 4A,PULO GADUNG - PONDOK KOPI,58,11.638
REGULER,RUTE 5,KAMPUNG MELAYU - TMII - CEGER,79,16.182
REGULER,RUTE 6,PS.MINGGU - BUNCIT - KEBAYORAN PTIK,46,7.582
REGULER,RUTE 7,PASAR MINGGU - RANCO - LT.AGUNG - UI,79,19.482
REGULER,RUTE 8,PS. MINGGU - PANCORAN - MANGGARAI,57,8.011
REGULER,RUTE 9,CILINCING - PLUMPANG -P.KEMERDEKAAN,36,5.434
REGULER,RUTE 10,KAMPUNG MELAYU - LAPANGAN BANTENG,47,7.488
REGULER,RUTE 11,BLOK.M - CILEDUK,45,7.89
REGULER,RUTE 12,TERMINAL KALIDERES - GAJAH MADA,65,15.633
REGULER,RUTE 13,PULO GADUNG -  PONDOK BAMBU -CAWANG,46,8.351
REGULER,RUTE 14,BLOK. M - PONDOK LABU,47,6.967
REGULER,RUTE 15,TEBET - PONDOK KOPI,36,6.691
REGULER,RUTE 16,RUSUN MUARA BARU - GROGOL,35,7.654
REGULER,RUTE 17,MUARA BARU- MUARA ANGKE,36,7.355
