type_operasi,daerah_operasi,area_operasi,jumlah_bus,jumlah_penumpang
ZONASI,ZONA 1,ZONASI PONDOK GEDE - HALIM- CONDET - RANCHO,105,"16,337"
ZONASI,ZONA 2,ZONASI KP.MELAYU - RAWAMANGUN,81,"11,522"
ZONASI,ZONA 3,ZONASI TERMINAL KALIDERES - KAMAL,72,"6,587"
ZONASI,ZONA 4, ZONASI KALIDERES -SEMANAN-DURIKOSAMBI,106,"14,690"
ZONASI,ZONA 5,ZONASI PULO GADUNG-MARDANI-PASEBAN,73,"8,844"
ZONASI,ZONA 6,ZONASI CAWANG - PEJATEN - RAGUNAN,69,"5,826"
ZONASI,ZONA 7,ZONASI RAWAMANGUN - CIKINI - LP.BANTENG,68,"9,173"
ZONASI,ZONA 8,ZONASI LUBANG BUAYA - DUKU.5 - KP.RAMBUTAN - RANCO,68,"6,509"
ZONASI,ZONA 9,ZONASI MARUNDA - ROROTAN,52,"6,621"
ZONASI,ZONA 10,ZONASI MARUNDA - CILINCING,51,"7,286"
ZONASI,ZONA 11,ZONASI - RUSUN KAPUK - CIDENG,41,"4,597"
REGULER,RUTE 1,LAP.BANTENG - GALUR -P.KEMERDEKAAN,108,"26,058"
REGULER,RUTE 2,PLUMPANG - SUNTER - KEMAYORAN,89,"18,413"
REGULER,RUTE 3,GANDARIA - H E K - TMII,91,"22,547"
REGULER,RUTE 4,PERINTIS KEMERDEKAAN - PULO GADUNG- PONDOK KOPI,57,"13,671"
REGULER,RUTE 4A,PULO GADUNG - PONDOK KOPI,91,"25,036"
REGULER,RUTE 5,KAMPUNG MELAYU - TMII - CEGER,123,"31,073"
REGULER,RUTE 6,PS.MINGGU - BUNCIT - KEBAYORAN PTIK,76,"14,217"
REGULER,RUTE 7,PASAR MINGGU - RANCO - LT.AGUNG - UI,122,"40,336"
REGULER,RUTE 8,PS. MINGGU - PANCORAN - MANGGARAI,94,"16,913"
REGULER,RUTE 9,CILINCING - PLUMPANG -P.KEMERDEKAAN,56,"10,210"
REGULER,RUTE 10,KAMPUNG MELAYU - LAPANGAN BANTENG,73,"15,514"
REGULER,RUTE 11,BLOK.M - CILEDUK,71,"15,999"
REGULER,RUTE 12,TERMINAL KALIDERES - GAJAH MADA,112,"32,222"
REGULER,RUTE 13,PULO GADUNG -  PONDOK BAMBU -CAWANG,70,"14,015"
REGULER,RUTE 14,BLOK. M - PONDOK LABU,72,"13,359"
REGULER,RUTE 15,TEBET - PONDOK KOPI,58,"11,628"
REGULER,RUTE 16,RUSUN MUARA BARU - GROGOL,55,"13,148"
REGULER,RUTE 17,MUARA BARU- MUARA ANGKE,57,"16,545"
