type_operasi,daerah_operasi,area_operasi,jumlah_bus,jumlah_penumpang
ZONASI,ZONA 1,ZONASI PONDOK GEDE - HALIM- CONDET - RANCHO,143,19.677
ZONASI,ZONA 2,ZONASI KP.MELAYU - RAWAMANGUN,121,13.489
ZONASI,ZONA 3,ZONASI TERMINAL KALIDERES - KAMAL,107,10.787
ZONASI,ZONA 4, ZONASI KALIDERES -SEMANAN-DURIKOSAMBI,146,20.573
ZONASI,ZONA 5,ZONASI PULO GADUNG-MARDANI-PASEBAN,117,13.256
ZONASI,ZONA 6,ZONASI CAWANG - PEJATEN - RAGUNAN,63,8.226
ZONASI,ZONA 7,ZONASI RAWAMANGUN - CIKINI - LP.BANTENG,109,13.58
ZONASI,ZONA 8,ZONASI LUBANG BUAYA - DUKU.5 - KP.RAMBUTAN - RANCO,68,7.8
ZONASI,ZONA 9,ZONASI MARUNDA - ROROTAN,66,10.179
ZONASI,ZONA 10,ZONASI MARUNDA - CILINCING,71,9.8
ZONASI,ZONA 11,ZONASI - RUSUN KAPUK - CIDENG,38,4.72
ZONASI,ZONASI 12,ZONASI CAKUNG TIMUR - ROROTAN,44,5.331
ZONASI,ZONASI 13,PELAYANAN DILUAR JAM OPERASIONAL,13,511
REGULER,RUTE 1,LAP.BANTENG - GALUR -P.KEMERDEKAAN,123,25.565
REGULER,RUTE 2,PLUMPANG - SUNTER - KEMAYORAN,124,19.961
REGULER,RUTE 3,GANDARIA - H E K - TMII,116,27.451
REGULER,RUTE 4,PERINTIS KEMERDEKAAN - PULO GADUNG- PONDOK KOPI,180,38.185
REGULER,RUTE 4A,PULO GADUNG - PONDOK KOPI,0,0
REGULER,RUTE 5,KAMPUNG MELAYU - TMII - CEGER,164,36.183
REGULER,RUTE 6,PS.MINGGU - BUNCIT - KEBAYORAN PTIK,90,16.398
REGULER,RUTE 7,PASAR MINGGU - RANCO - LT.AGUNG - UI,153,39.606
REGULER,RUTE 8,PS. MINGGU - PANCORAN - MANGGARAI,112,18.426
REGULER,RUTE 9,CILINCING - PLUMPANG -P.KEMERDEKAAN,57,10.73
REGULER,RUTE 10,KAMPUNG MELAYU - LAPANGAN BANTENG,97,15.681
REGULER,RUTE 11,BLOK.M - CILEDUK,97,18.776
REGULER,RUTE 12,TERMINAL KALIDERES - GAJAH MADA,167,30.89
REGULER,RUTE 13,PULO GADUNG -  PONDOK BAMBU -CAWANG,92,17.02
REGULER,RUTE 14,BLOK. M - PONDOK LABU,89,17.268
REGULER,RUTE 15,TEBET - PONDOK KOPI,61,11.958
REGULER,RUTE 16,RUSUN MUARA BARU - GROGOL,70,14.574
REGULER,RUTE 17,MUARA BARU- MUARA ANGKE,69,18.582
REGULER,RUTE 18,RUTE UJI COBA,70,5.841
REGULER,RUTE 19,RUTE KHUSUS OPERASIONAL DILUAR JAM PELAYANAN KEGIATAN ASIAN GAMES,84,6.457
