type_operasi,daerah_operasi,area_operasi,jumlah_bus,jumlah_penumpang
ZONASI,ZONA 1,ZONASI PONDOK GEDE - HALIM- CONDET - RANCHO,30,924
ZONASI,ZONA 2,ZONASI KP.MELAYU - RAWAMANGUN,25,"1,173"
ZONASI,ZONA 3,ZONASI TERMINAL KALIDERES - KAMAL,19,"1,119"
ZONASI,ZONA 4, ZONASI KALIDERES -SEMANAN-DURIKOSAMBI,28,"1,697"
ZONASI,ZONA 5,ZONASI PULO GADUNG-MARDANI-PASEBAN,19,739
ZONASI,ZONA 6,ZONASI CAWANG - PEJATEN - RAGUNAN,14,557
ZONASI,ZONA 7,ZONASI RAWAMANGUN - CIKINI - LP.BANTENG,20,777
ZONASI,ZONA 8,ZONASI LUBANG BUAYA - DUKU.5 - KP.RAMBUTAN - RANCO,14,426
ZONASI,ZONA 9,ZONASI MARUNDA - ROROTAN,15,771
ZONASI,ZONA 10,ZONASI MARUNDA - CILINCING,14,865
ZONASI,ZONA 11,ZONASI - RUSUN KAPUK - CIDENG,12,361
ZONASI,ZONASI 12,ZONASI CAKUNG TIMUR - ROROTAN,10,379
REGULER,RUTE 1,LAP.BANTENG - GALUR -P.KEMERDEKAAN,26,"1,745"
REGULER,RUTE 2,PLUMPANG - SUNTER - KEMAYORAN,24,"1,105"
REGULER,RUTE 3,GANDARIA - H E K - TMII,21,898
REGULER,RUTE 4,PERINTIS KEMERDEKAAN - PULO GADUNG- PONDOK KOPI,15,518
REGULER,RUTE 4A,PULO GADUNG - PONDOK KOPI,25,845
REGULER,RUTE 5,KAMPUNG MELAYU - TMII - CEGER,32,"1,768"
REGULER,RUTE 6,PS.MINGGU - BUNCIT - KEBAYORAN PTIK,18,638
REGULER,RUTE 7,PASAR MINGGU - RANCO - LT.AGUNG - UI,34,"2,358"
REGULER,RUTE 8,PS. MINGGU - PANCORAN - MANGGARAI,25,"1,207"
REGULER,RUTE 9,CILINCING - PLUMPANG -P.KEMERDEKAAN,13,836
REGULER,RUTE 10,KAMPUNG MELAYU - LAPANGAN BANTENG,20,"1,321"
REGULER,RUTE 11,BLOK.M - CILEDUK,20,"1,066"
REGULER,RUTE 12,TERMINAL KALIDERES - GAJAH MADA,30,"3,171"
REGULER,RUTE 13,PULO GADUNG -  PONDOK BAMBU -CAWANG,19,867
REGULER,RUTE 14,BLOK. M - PONDOK LABU,20,552
REGULER,RUTE 15,TEBET - PONDOK KOPI,15,930
REGULER,RUTE 16,RUSUN MUARA BARU - GROGOL,15,855
REGULER,RUTE 17,MUARA BARU- MUARA ANGKE,11,864
